1	3,275.88
10	852,22.00
100	62,872.60
101	199,7.00
102	424,10.00
106	1386,25.00
107	9,122.62
108	822,23.00
109	2,114.73
11	430,10.00
111	14,157.09
112	3982,62.00
113	6,91.72
114	7,100.04
115	45,2.00
116	8456,120.00
117	269,13.00
118	12,942.91
119	1016,23.00
120	47,831.55
121	1035,22.00
122	526,15.00
123	1342,29.00
124	332,9.00
125	2,18.72
126	628,13.00
127	1765,32.00
128	88,1.00
129	15727,198.00
13	16,317.17
130	9740,173.00
131	683,16.00
132	41,1.00
133	765,16.00
134	5230,78.00
135	670,14.00
136	1237,30.00
137	10,157.73
138	55,1.00
139	393,13.00
14	2143,59.00
140	16,313.28
141	9,78.69
142	35,471.81
143	3,21.89
144	1,7.80
145	6553,108.00
146	3193,41.00
147	618,14.00
148	5,69.65
149	1019,22.00
15	152,4.00
150	570,17.00
151	1,14.69
152	4119,54.00
153	210,2.00
154	29,585.99
155	1433,35.00
156	37,2.00
157	376,8.00
158	3,34.99
159	2092,34.00
16	383,9.00
160	352,7.00
161	29,442.98
162	37,485.49
163	26,282.61
164	24,340.55
165	1671,36.00
166	21972,289.00
167	1172,24.00
168	2025,36.00
169	1165,24.00
17	4351,70.00
170	31,726.58
171	351,10.00
172	6,358.53
173	1451,20.00
174	1795,39.00
175	246,7.00
176	2,84.61
177	1490,32.00
178	434,9.00
179	4348,59.00
18	1275,28.00
180	216,6.00
181	13734,205.00
182	1707,33.00
183	458,12.00
184	65,1.00
185	1085,21.00
186	25,374.74
187	4,263.74
188	3676,73.00
189	1671,26.00
19	304,7.00
190	383,6.00
191	1027,31.00
192	436,10.00
193	1832,26.00
194	25,466.02
195	777,20.00
196	4729,72.00
197	1596,51.00
198	508,12.00
20	644,14.00
200	642,19.00
201	50,2.00
202	74,2.00
203	352,12.00
204	3,179.44
205	1431,44.00
206	36,2.00
207	8,161.06
208	636,15.00
21	927,24.00
210	3180,61.00
211	6,70.60
212	1393,23.00
213	2041,47.00
214	12,782.87
215	1059,28.00
216	1086,29.00
217	660,12.00
218	841,24.00
219	297,11.00
22	1105,30.00
220	1371,31.00
221	31,2.00
222	1075,31.00
223	10164,129.00
224	1,9.36
225	3375,67.00
226	4907,83.00
227	727,20.00
228	1220,31.00
229	14,157.62
23	16,913.77
230	52,811.43
231	23,435.32
232	3,108.71
233	4,41.39
234	21,295.80
235	1539,37.00
236	1372,17.00
237	11,138.46
238	12,119.92
239	37,459.94
24	1828,22.00
240	107,2.00
241	737,16.00
242	2721,53.00
243	3171,61.00
244	15386,287.00
245	3,131.98
246	3,26.86
247	2235,35.00
248	713,14.00
249	11,101.56
25	12234,192.00
250	1100,23.00
251	25,1.00
252	197,5.00
253	18,810.68
254	1603,43.00
255	10200,153.00
256	3300,53.00
257	631,13.00
258	543,14.00
259	732,21.00
26	1989,45.00
260	11988,151.00
261	8,185.72
262	14,317.64
263	397,5.00
264	402,5.00
265	142,5.00
27	1,30.45
28	846,19.00
29	939,25.00
3	663,17.00
30	3,190.04
31	160,3.00
32	1070,28.00
33	14759,246.00
34	152,2.00
35	2627,60.00
36	1573,32.00
37	1851,39.00
38	409,16.00
39	2489,66.00
4	2,30.06
40	3091,46.00
41	33140,389.00
42	20302,263.00
43	7120,94.00
44	3,217.96
45	3,38.72
46	66,3.00
47	1005,22.00
48	42,552.19
49	5724,91.00
5	4,253.46
50	3,24.46
51	2031,61.00
52	5642,77.00
53	154,4.00
54	190,4.00
55	1988,70.00
56	1346,27.00
57	32,501.53
58	49,1.00
59	55,1.00
6	12,608.94
60	632,12.00
61	6859,123.00
62	1830,34.00
63	571,14.00
64	104,3.00
65	14459,231.00
66	10089,183.00
67	475,11.00
68	15,186.21
69	2471,48.00
7	25658,299.00
70	593,11.00
71	1793,40.00
72	2125,48.00
73	140,3.00
74	42553,549.00
75	39797,516.00
76	4243,111.00
77	1060,25.00
78	1218,28.00
79	18,215.58
8	5,122.77
80	2847,54.00
81	902,25.00
82	24422,306.00
83	3004,38.00
84	7,550.27
85	1160,25.00
86	294,17.00
87	14,301.77
88	8,263.97
89	3118,70.00
9	311,6.00
90	12,159.50
91	2212,50.00
92	4179,78.00
93	190,4.00
94	486,10.00
95	16933,239.00
96	28,715.82
97	17186,256.00
98	209,6.00
