1	31,2.00
10	428,24.00
100	22199,301.00
101	18,657.38
102	24,627.22
106	131,2.00
107	23494,294.00
108	26,895.90
109	2,47.48
11	19,683.96
111	1,10.38
112	380,6.00
113	15037,188.00
114	12827,172.00
115	2,118.49
116	1384,19.00
117	23,1.00
118	5,247.39
119	75,1.00
12	602,11.00
120	9,206.14
121	45,1.00
122	19,740.69
123	60,1.00
124	44,1.00
125	5115,70.00
126	41,999.92
127	108,2.00
128	7,168.45
129	706,11.00
13	8350,152.00
130	190,9.00
131	43,1.00
132	33175,1.00
133	57,1.00
134	92,2.00
135	75,2.00
136	69,1.00
137	14201,180.00
138	26647,1.00
139	36,1.00
14	104,2.00
140	19122,253.00
141	26160,296.00
142	31738,386.00
143	12358,147.00
144	10274,147.00
145	876,22.00
146	1061,14.00
147	32,894.05
148	12784,195.00
149	43,906.99
15	12,373.11
150	20,613.34
151	10230,127.00
152	998,14.00
153	28,603.29
154	8,339.14
155	74,2.00
156	6,500.43
157	83,3.00
158	9161,131.00
159	124,2.00
16	45,1.00
160	44,1.00
161	40598,562.00
162	33708,450.00
163	26566,376.00
164	24114,329.00
165	74,2.00
166	4526,62.00
167	61,1.00
168	300,5.00
169	66,1.00
17	269,4.00
170	31341,420.00
171	24,909.30
173	55,1.00
174	46,966.07
175	20,628.85
177	100,2.00
178	28,746.40
179	654,9.00
18	43,1.00
180	30,934.80
181	1001,18.00
182	54,1.00
183	21,911.66
184	3,243.73
185	38,839.86
186	37428,522.00
187	1,8.30
188	219,4.00
189	243,4.00
19	28,786.09
190	50,951.50
191	82,2.00
192	18,552.04
193	454,6.00
194	55,3.00
195	92,2.00
196	121,2.00
197	128,4.00
198	94,2.00
2	2,130.61
20	22,763.42
200	46,1.00
201	5,240.16
202	48,1.00
203	23,848.72
205	108,3.00
206	1,77.82
207	10,328.46
208	29,740.67
209	2070,39.00
21	40,1.00
210	71,2.00
211	8116,112.00
212	35,819.90
213	112,2.00
215	162,9.00
216	211,8.00
217	86,1.00
218	83,2.00
219	114,5.00
22	55,1.00
220	63,1.00
221	7,444.38
222	66,2.00
223	566,11.00
224	2536,33.00
225	200,4.00
226	1748,34.00
227	37,1.00
228	130,3.00
229	20474,250.00
23	7,356.64
230	35718,548.00
231	15439,235.00
232	1790,31.00
233	12475,175.00
234	29492,371.00
235	100,2.00
236	38894,446.00
237	40246,447.00
238	21409,256.00
239	29055,348.00
24	3126,41.00
240	8,291.24
241	37,913.47
242	69,1.00
243	271,5.00
244	1223,19.00
245	2,101.86
246	11623,157.00
247	162,3.00
248	31,813.16
249	19592,252.00
25	869,15.00
250	34,791.41
251	3,82.90
252	12,471.78
253	3,47.90
254	79,2.00
255	797,13.00
256	804,14.00
257	56,1.00
258	42,1.00
259	43,1.00
26	121,2.00
260	728,11.00
261	6425,123.00
262	12954,162.00
263	22078,257.00
264	17503,271.00
265	280,13.00
28	159,7.00
29	25,661.94
3	17,620.19
30	1,16.22
31	6,240.10
32	46,1.00
33	911,16.00
34	29,643.30
35	144,3.00
36	155,3.00
37	310,6.00
38	26,962.18
39	138,4.00
4	2185,31.00
40	455,7.00
41	4582,57.00
42	2198,29.00
43	16715,218.00
44	5,316.50
45	2306,38.00
46	6,242.82
47	51,1.00
48	34512,466.00
49	306,5.00
5	4,324.74
50	9135,122.00
51	112,3.00
52	476,8.00
53	23,792.87
54	32,586.54
55	43,1.00
56	70,2.00
57	6,239.96
58	2,23.55
59	6,134.15
6	4,289.78
60	37,790.26
61	361,7.00
62	111,2.00
63	39,839.88
64	5,153.64
65	1194,21.00
66	502,9.00
67	35,1.00
68	23359,318.00
69	128,2.00
7	1891,25.00
70	130,4.00
71	80,2.00
72	103,2.00
73	8,233.32
74	4562,56.00
75	8449,105.00
76	235,6.00
77	57,1.00
78	50,1.00
79	27527,363.00
8	8,174.80
80	491,9.00
81	43,1.00
82	397,8.00
83	157,2.00
85	64,1.00
86	19,1.00
87	6590,128.00
88	3661,75.00
89	198,5.00
9	26,583.62
90	17565,215.00
91	102,2.00
92	70,1.00
93	177,9.00
94	34,987.17
95	213,5.00
96	4,69.90
97	813,13.00
98	22,530.90
